Unnamed: 0	Institution name	City	State	Control	Type	Religious Affiliation	US News National Rank	US News LAC Rank	Undergraduate enrol ment	Percent of student body that is undergraduate	Total international undergraduates	Undergrad percent international students	International students receiving aid	Estimated cost of at endance (COA)	Types of aid available	Percent of int'l students receiving aid	Average award to international students	Award as percentage of total COA	COA after average award	Total aid in mil ions	Largest merit scholarship available to int'l students	Name of merit scholarship	Merit scholarship info	SAT EBRW 25%ile	SAT EBRW 75%ile	SAT Math 25th %ile	SAT Math 75th %ile	SAT 25%	SAT 75%	Nickname(s)/also called	Unnamed: 31	Overal ac eptance rate	ED2 deadline	Priority Deadline	Final ap lication deadline	Minimum TOEFL	TOEFL Notes	Final min IELTS	Motto
28.0	Duke University	Durham	NC	Private	Research	Methodist	8	-	6.609	0.41	687	10.4%	207	78.3	Both	30.1%	61.497	0.79	16.803	$12.7m	Full Ride	Angier B. Duke Memorial Scholarship	Info	700	770	710	790	1410	1560	Duke		8.3%		20-Dec	3-Jan				
29.0	Davidson College	Davidson	SC	Private	LAC	Presbyterian	-	10	1.81	1	125	6.9%	60	70	Both	48.0%	49.057	0.7	20.943	$2.9m	Full Ride	John M. Belk Scholarship		660	740	650	730	1310	1470	Davidson		19.3%	2-Jan		2-Jan	100		7	
31.0	Denison University	Granville	OH	Private	LAC		-	43	2.341	1	2341	10.0%	225	72.8	Both	96.6%	27.639	0.38	45.161	$6.2m	Full Ride	https://denison.edu/campus/finances/types-of-scholarships-aid 		600	690	600	690	1200	1380	Denison		37.2%	15-Jan	15-Jan	15-Jan	80		6.5	
32.0	Dickinson College	Carlisle	PA	Private	LAC		-	51	2.382	1	2382	13.6%	211	76.2	Both	65.1%	36.361	0.48	39.839	$7.7m				620	700	610	720	1230	1420	Dickinson 		48.7%	15-Jan		15-Jan	90	104 avg.	7	
33.0	 Eastera Michigan University	Ypsilanti	MI	Public 	Comp.U		230+	-	16.997	0.84	16997	1.8%	192	49.1	Merit	62.1%	19.613	0.4	29.487	$3.8m	17.181	National Scholars Program	Info	495	595	510	600	1005	1195	EMU		72.9%			rolling	61		6	
34.0	 Emory University	Atlanta 	GA	Private	Research	Methodist	21	-	6.937	0.49	6937	16.9%	76	73.3	Both	6.5%	42.304	0.58	30.996	$3.2m	Full Ride			670	740	680	780	1350	1520	Emory		22.0%	1-Jan		1-Jan	100		7.5	
35.0	 Fairfield University	Fairfield	CT	Private	Comp.U	Catholic (Jesuit)	-	-	4.113	0.79	4113	3.0%	105	71.4	Both	86.1%	43.877	0.61	27.523	$4.6m				590	660	590	660	1180	1320	Fairfield		60.6%	15-Jan		15-Jan		93 avg.		
36.0	Georgetown University	Washington	DC	Private	Research	Catholic (Jesuit)	22	-	7.463	0.39	1032	13.8%	25	77.7	Need+A	2.4%	64.183	0.83	13.517	$1.6m				680	760	670	760	1350	1520	Georgetown		14.5%			10-Jan	                                     N/A			
37.0	 Gonzaga University	Spokane	WA	Private	Research	Catholic (Jesuit)	-	-	5.209	0.69	71	1.4%	60	62.9	Merit	84.5%	28.918	0.46	33.982	$1.7m	n/s		Info	590	670	590	680	1180	1350	Gonzaga		64.8%		15-Nov	1-Feb	80	93 avg.	6	
38.0	Grinnell College	Grinnell	IA	Private	LAC		-	11	1.712	1	1712	19.0%	207	73.1	Both	63.5%	37.362	0.51	35.738	$7.7m				640	740	670	770	1310	1510	Grinnell		28.9%	1-Jan		15-Jan	n/s	25%ile 104, 107 avg.	6.5	
39.0	Hamilton College	Clinton	NY	Private	LAC		-	16	1.897	1	1897	6.4%	62	76.2	Need	51.2%	52.411	0.69	23.789	$3.2m				680	750	680	760	1360	1510	Hamilton		24.2%	1-Jan		1-Jan	100			
40.0	Harvard University	Cambridge	    MA 	Private	Research		2	                  -	6.766	0.67	6766	11.5%	594	$75,600	    Need	0.765	$64,459	0.85	$11,141	$38.3m				730	790	730	800	1460	1590	Harvard,Hahvahd		4.6%			1-Jan	N/R		N/R	
41.0	Haverford College	Haverford	    PA	Private	LAC		                  -	11	1.296	1	1296	9.3%	25	$79,000	    Need	      20.7%	$61,506	0.78	$17,494	$1.5m				700	760	690	770	1390	1530	Haverford		20.1%	1-Jan		15-Jan	100		7	
42.0	 IOWA Strate University 	Ames	    IA	Public	Research		119	                  -	30.406	0.84	2131	7.0%	391	$41,000	    Merit	18.3%	$6,386	0.16	$34,614	$2.5m				520	647	545	680	1065	1327	Iowa State		89.3%		1-Mar	rolling	71	17S17R req.	6	
43.0	 Ithaca College	Ithaca	    NY	Private	LAC		                  -	                  -	6.059	0.93	101	1.7%	85	$68,200	    Both	84.2%	$31,362	0.46	$36,838	$2.7m			Info	590	670	560	660	1150	1330	Ithaca		70.5%			1-Feb				
44.0	 Johns Hopkins University 	Baltimore	    MD	Private	Research		10	                  -	6.109	0.24	582	9.5%	39	$77,600	    Both	6.7%	$36,134	0.47	$41,466	$1.4m				720	780	740	800	1460	1580	Hopkins,JHU		9.9%			2-Jan	100		7	
45.0	Kalamazoo College	Kalamazoo	    MI	Private	LAC	Baptist	                 -	65	1.436	1	1436	6.1%	85	$66,200	    Both	96.6%	$29,892	0.45	$36,308	$2.5m				600	690	580	690	1180	1380	"K College, ""K"""		73.4%	1-Feb	1-Nov	15-Jan	84		7	
46.0	Kenyon  College  	Gambier	    OH	Private	LAC		                 -	30	1.677	1	1677	5.6%	57	$75,800	    Both	60.6%	$53,770	0.71	$22,030	$3.1m				640	730	623	730	1263	1460	Kenyon		33.8%	15-Jan	15-Jan	15-Jan	100		7	
47.0	Lafayette College 	Easton	    PA	Private	LAC	Presbyterian	                 -	36	2.594	1	2594	10.0%	126	$76,600	    Both	48.5%	$53,001	0.69	$23,599	$6.7m				630	710	630	730	1260	1440	Lafayette		30.8%	1-Feb		15-Feb	95		7	
48.0	 Lehigh  University 	Bethlehem	    PA	Private	Research		53	                  -	5.075	0.72	5075	8.6%	90	$73,900	    Both	20.7%	$46,259	0.63	$27,641	$4.2m	Full tuition			620	700	650	730	1270	1430	Lehigh		25.2%	1-Jan		1-Jan				
49.0	 Lindenwood University 	St. Charles	    MO	Private	Comp. U	Presbyterian		                  -	6.948	0.69	6948	11.7%	777	$35,800	    Both	95.7%	$11,520	0.32	$24,280	$9.0m				480	580	500	590	980	1170	Lindenwood		73.7%		28-Aug	rolling	61	   76 avg.	              5.5	
50.0	Louisiana State University	Baton Rouge	     LA	Public	Research		176	                 -	25.444	0.82	25444	1.8%	64	$49,800	    Merit	13.9%	$7,597	0.15	$42,203	$0.5m	Full Ride	Stamps Scholarship.	Info	530	640	530	650	1060	1290	LSU		73.9%		15-Nov	15-Apr	79	   90 avg.	              6.5	
51.0	 Macalester College 	ST. Paul	     MN	Private	LAC		                 -	27	2.136	1	332	15.5%	258	$74,100	    Both	77.7%	$43,640	0.59	$30,460	$11.3m				660	740	640	740	1300	1480	Macalester		40.6%	1-Jan		15-Jan	    none	  100 rec.	            n/s	
52.0	Massachusetts Institute of Technology 	Cambridge	     MN	Private	Research		3	                 -	4.547	0.4	4547	10.3%	356	$74,600	    Need	75.7%	$56,840	0.76	$17,760	$20.2m				720	770	770	800	1490	1570	MIT		6.7%			1-Jan	90	100T, 23x4 rec.	           N/A	
53.0	Michigan State University	East Lansing	     MI	Public	Research		85	                 -	38.996	0.78	4616	11.8%	362	$59,400	    Both	7.8%	$29,822	0.5	$29,578	$10.8m	Half tuition	 #YouAreWelcomeHere	Info	550	650	550	670	1100	1320	Michigan State, MSU		71.5%		1-Nov	rolling	79	    17x4 req.	              6.5	
54.0	 Middiebury College 	Middlebury	     VT	Private	LAC		                 -	5	2.561	0.98	2561	10.9%	138	$77,500	    Need	49.6%	$57.974	0.75	$19,526	$8.0m				660	750	660	760	1320	1510	Middlebury		18.4%	1-Jan		1-Jan	    none	    109 avg.	              7.5	
55.0	Mississippi State University 	Starkville	     MS	Public	Research		177	                 -	18.312	0.84	225	1.2%	150	$42,000	    Both	66.7%	$4,071	0.1	$37,929	$0.6m	Full tuition			540	650	520	650	1060	1300	Mississippi State,MSU		73.4%			rolling	71		6	
56.0	Missouri Universitu of Science and Tech	Rolla	     MO	Public	Research		157	                 -	6.92	0.78	6920	3.5%		$46,000	    Need		No data		$41,000					520	640	580	700	1100	1340	     Missouri S&T		83.5%		1-Dec	1-Jul	79	     87 avg.	6	
57.0	 Mount Holyoke College	South Hadley	    MA 	Private	Women`s		                 -	30	2.21	0.95	605	27.4%	322	$72,000	    Both	53.2%	$32,620	0.45	$39,380	$10.5m				640	710	630	750	1270	1460	    Mount Holyoke		50.8%	1-Jan		15-Jan	     none	    100 avg.	   none	
58.0	New York University - Abu Dhabi																											0	0										
59.0	 New Jersey Institute of Technology	Newark	    NJ	Public	Research		106	                -	8.483	0.74	8433	4.5%	101	$55,200	    Both	26.5%	$23,498	0.43	$31,702	$2.4m				580	670	610	700	1190	1370	 NJIT		61.4%		15-Dec	1-Mar	79	     90 avg.	6	
60.0	North Corolina State  University at Raleigh 	Raleigh	NC	Private	Research		80	       -	24150	0.7	1137	0.047	179	48300	Merit	0.157	14255	0.3	34045	$2.6m	n/s		Info	610	680	620	710	1230	1390	NC State	NCSU	0.51		2021-10-15 00:00:00	2021-01-15 00:00:00	85	18x4 req.	6.5	
61.0	  Northwestern University	Evanston	IL	Private	Research		10	       -	8278	0.39	8278	0.091	105	78700	Need	0.139	55219	0.7	23481	$5.8m				700	770	720	790	1420	1560	Northwestern		0.084			2021-01-01 00:00:00	none			
62.0	Oberlin College 	Oberlin	OH	Private	LAC		       -	30	2827	0.99	2827	0.102	157	78700	Need	0.543	36672	0.47	42028	$5.8m				650	720	630	730	1280	1450	Oberlin		0.337	2021-01-02 00:00:00		2021-01-15 00:00:00	60	107 avg.		
63.0	Pitzer CoA3:O5	Claremont	CA	Private	LAC		       -	41	1112	1	121	0.109	15	78500	Both	0.124	58875	0.75	19625	$0.9m				640	740	670	750	1310	1490	Pitzer		0.132	2021-01-01 00:00:00		2021-01-01 00:00:00	95		7	
64.0	Pamona College	Claremont	CA	Private	LAC		       -	5	1703	1	1703	0.115	83	77200	Need	0.423	58692	0.76	18508	$4.9m				690	760	680	770	1370	1530	Pomona		0.07	2021-01-01 00:00:00		2021-01-01 00:00:00	100		7	
65.0	Princeton University	Princeton	NJ	Private	Research		1	       -	5394	0.65	5394	0.117	433	72800	Need	0.688	48915	0.67	23885	$21.2m				710	780	720	790	1430	1570	Princeton		0.055			2021-01-01 00:00:00	n/s			
66.0	Providence	Providence	RI	Private	Comp. U	Catholic	       -	       -	4306	0.88	4306	0.019	78	73000	Both	0.94	55215	0.76	17785	$4.3m				580	660	580	670	1160	1330	Providence		0.515	2021-01-15 00:00:00		2021-01-15 00:00:00		101 avg.		
67.0	Qunnipiac University	Hamden	CT	Private	Comp. U		       -	       -	7305	0.72	7305	0.019	126	71000	Both	0.9	35462	0.5	35538	$4.5m				550	630	530	630	1080	1260	Quinnipiac College (fka)		0.739		2021-11-15 00:00:00	2021-02-01 00:00:00	85		6.5	
68.0	Reed College	Portland	OR	Private	LAC		       -	90	1447	0.98	1447	0.111	47	77900	Need	0.294	42015	0.54	35885	$2.0m				670	740	640	760	1310	1500	Reed		0.356	2021-12-02 00:00:00		2021-01-01 00:00:00	n/s	110 avg.		
69.0	Rice University	Houston	TX	Private	Research		16	       -	4001	0.57	4001	0.123	113	69500	Both	0.23	33261	0.48	36239	$3.8m	n/s		Info	730	780	760	800	1490	1580	Rice		0.159			2021-01-01 00:00:00	100		7	
70.0	Sarah Lawrence College	Bronxville	NY	Private	LAC		       -	65	1399	0.82	1399	0.156	218	78900	Both	1	26411	0.33	52489	$5.8m				650	730	590	680	1240	1410	Sarah Lawrence	SlC	0.532	2021-01-02 00:00:00		2021-01-15 00:00:00		100 rec.		
71.0	San Diego State University	San Diego	CA	Public	Research		127	       -	30165	0.87	30165	0.071	81	45300	Both	0.038	20000	0.44	25300	$1.6m				550	640	540	650	1090	1290	San Diego State	SDSU	0.352			2021-11-30 00:00:00	80	82 avg.	6.5	
72.0	San Jose State Yniversity	San Jose	CA	Public	Comp. U		       -	       -	27778	0.79	2097	0.075	442	45200	Both	0.211	9805	0.22	35395	$4.3m				510	610	520	620	1030	1230	SJSU		0.669			2021-11-30 00:00:00	61	80 for engin.	6	
73.0	Santa Clara University	Santa Clara	CA	Private	Research	Catholic (Jesuit)	53	       -	5499	0.64	5499	0.039	18	74300	Both	0.083	42243	0.57	32057	$0.8m				630	710	640	730	1270	1440	Santa Clara		0.536			2021-01-07 00:00:00	90	104 avg.	6.5	
74.0	Skidmore College	Saratoga Springs	NY	Private	LAC		       -	41	2680	1	2680	0.113	83	76600	Need	0.274	63855	0.83	12745	$5.3m				610	700	595	700	1205	1400	Skidmore		0.245	2021-01-15 00:00:00		2021-01-15 00:00:00	96		7	
75.0	Smith College	Northampton	MA	Private	Women's		       -	11	2521	0.86	2521	0.139	154	76800	Both	0.44	56117	0.73	20683	$8.6m				650	740	640	750	1290	1490	Smith		0.319			2021-01-15 00:00:00	n/s	110 avg.		
76.0	Sourthern illinous University-Carbondale	Carbondale	IL	Public	Research		226	       -	10987	0.75	10987	0.039	70	48700	Both	0.163	18982	0.39	29718	$1.3m				440	530	480	600	920	1130	SIU		0.762		2021-05-01 00:00:00	2021-05-01 00:00:00	68		6	
77.0	St.Lawrence University	Canton	NY	Private	LAC		       -	56	2414	0.97	2414	0.09	210	76600	Both	0.963	36031	0.47	40569	$7.6m				590	680	580	675	1170	1355	St. Lawrence		0.483			2021-02-01 00:00:00				
78.0	Stanford University	Stanford	CA	Private	Research		7	       -	7062	0.42	7062	0.092	188	74700	Need+A	0.291	60968	0.82	13732	$11.5m				690	760	700	780	1390	1540	Stanford		0.043			2021-01-02 00:00:00				
79.0	SUNY  at Binghamton	Binghamton	NY	Public	Research		80	       -	13708	0.79	13708	0.082	31	49000	Both	0.028	15719	0.32	33281	$0.5m				640	710	650	720	1290	1430	Binghamton	SUNY-Binghamton	0.404		2021-01-15 00:00:00	rolling	n/s	Mid 50% 80-95	n/s	
80.0	Swarthmore College	Swarthmore	PA	Private	LAC		       -	3	1620	1	208	0.128	68	75800	Need	0.327	59869	0.79	15931	$4.1m				690	760	690	760	1380	1520	Swarthmore		0.091			2021-01-01 00:00:00				
81.0	Soka University of America 	Aliso Viejo	CA	Private	LAC		-	22	412	0.96	412	43.0%	177	$53,900	Both	1	$48,368	0.9	$5,532	$8.6m	Full ride	Global Merit		590	670	610	720	1200	1390	Soka, SUA		37.2%		1-Nov	15-Jan				
82.0	St John’s College Annapolis, MD	Annapolis	MD	Private	LAC		-	61	458	0.89	458	22.1%	99	$74,000	Both	98.0%	$37,568	0.51	$36,432	$3.7m				640	740	580	690	1220	1430	St. John's Annapolis		54.6%		15-Jan	rolling		100 rec.		
83.0	St John’s College Santa Fe, NM	Santa Fe	NM	Private	LAC		-	72	322	0.84	322	30.1%	97	$73,800	Both	1	$53,100	0.72	$20,700	$5.2m				580	720	540	690	1120	1410	St. John's NM 		63.2%		15-Jan	rolling		100 rec.		
84.0	The College of Wooster	Wooster	OH	Private	LAC	Presbyterian	-	67	1.98	1	1980	12.8%	245	$70,000	Both	96.5%	$31,303	0.45	$38,697	$7.7m	$34,000	College Scholar Award	Info	570	680	580	700	1150	1380	Wooster		56.4%	15-Jan	15-Feb	15-Feb	80	96 avg.		
85.0	Temple University	Philadelphia	PA	Public	Research		106	-	29.55	0.74	29550	7.0%	966	$50,100	Both	47.0%	$7,338	0.15	$42,762	$7.1m				570	660	560	650	1130	1310	Temple		56.7%		1-Nov	1-Feb	79	86 avg.	6	
86.0	Texas A&M University College	College Station	TX	Public	Research		66	-	53.065	0.79	762	1.4%	240	$57,000	Both	31.5%	$19,274	0.34	$37,726	$4.6m			Info	570	670	570	690	1140	1360	Texas A&M, TAMU 		70.1%			1-Dec	80		6	
