Unnamed: 0	Institution name	City	State	Control	Type	Religious Affiliation	US News National Rank	US News LAC Rank	Undergraduate enrol ment	Percent of student body that is undergraduate	Total international undergraduates	Undergrad percent international students	International students receiving aid	Estimated cost of at endance (COA)	Types of aid available	Percent of int'l students receiving aid	Average award to international students	Award as percentage of total COA	COA after average award	Total aid in mil ions	Largest merit scholarship available to int'l students	Name of merit scholarship	Merit scholarship info	SAT EBRW 25%ile	SAT EBRW 75%ile	SAT Math 25th %ile	SAT Math 75th %ile	SAT 25%	SAT 75%	Nickname(s)/also called	Unnamed: 31	Overal ac eptance rate	ED2 deadline	Priority Deadline	Final ap lication deadline	Minimum TOEFL	TOEFL Notes	Final min IELTS	Motto
108.0	University of Richmond	Richmond	VA	Private	LAC		       -	18	2999	0.86	2999	0.115	136	72700	Both	0.393	46398	0.64	26302	$6.3m	Full ride	Richmond Scholars		630	710	640	750	1270	1460	Richmond	UofR, UR	0.33	2021-01-15 00:00:00		2021-01-15 00:00:00	80	105 avg.	7.5	
109.0	University of South Florida-Main Compus	Tampa	FL	Public	Research		124	       -	31772	0.73	2230	0.07	390	37000	Merit	0.175	9069	0.25	27931	$3.5m				580	650	570	660	1150	1310	USF		0.436		2021-11-01 00:00:00	2021-03-15 00:00:00				
110.0	University of Mississippi ⠀	University	MS	Public	Research		152	       -	18737	0.81	18737	0.016	184	44100	Merit	0.605	20009	0.45	24091	$3.7m				550	640	520	650	1070	1290	Ole Miss		0.839		2021-04-01 00:00:00	rolling	79	17x4 req., 93 avg	6	
111.0	University of Rochester	Rochester	     NY	Private	Research		33	               -	5.796	0.81	5796	24.8%	934	$77,400	Both	65.1%	$32,118	0.41	$45,282	$30.0m	Full ride		Info	640	720	660	770	1300	1490	Rochester, UofR,UR		34.2%		1-Dec	5-Jan	100	25W/24S/26R/25L	           7.5	
112.0	University of toledo	Toledo	     OH	Public	Research		        230+	               -	16.194	0.79	16194	6.0%	410	$39,900	Merit	42.0% 	$11,562	0.29	$28,338	$4.7m	$9,000	International Student Scholarship	Info	510	620	510	620	1020	1240	U. of Toledo		94.4%		1-Mar	rolling	71	         85 avg.	6	
113.0	Utica College	Utica	     NY	Private	Comp. U		              -	               -	3.685	0.7	3685	1.2%	45	$41,500	Both	1	$7,590	0.18	$33,910	$0.3m				500	590	480	590	980	1180	Utica, UC		83.7%		1-Mar	rolling	79		6	
114.0	Vanderbit University	Nashville	     TN	Private	Research		14	               -	6.871	0.55	491	7.1%	140	$73,200	Both	28.5%	$54,292	0.74	$18,908	$7.6m	Full ride		Info	710	770	730	800	1440	1570	Vanderbilt, Vandy		10.9%	1-Jan	1-Jan	1-Jan	100		7	
115.0	Vassar College	Poughkeepsie	     NY	Private	LAC		              -	11	2.353	1	192	8.2%	77	$78,100	Need	40.1%	$61,052	0.78	$17,048	$4.7m				690	750	680	760	1370	1510	Vassar		23.8%			1-Jan	100		7	
116.0	Villanova University	Villanova	     PA	Private	Comp. U	    Catholic	49	               -	6.966	0.63	6966	2.0%	75	$74,800	Both	54.0%	$45,628	0.61	$29,172	$3.4m	Full ride	Presidental Scholarship	Info	630	710	640	730	1270	1440	Villanova, 'Nova		36.0%		15-Dec	15-Jan	90		           6.5	
117.0	Wabash College ⠀	Crawfordsville	     IN	Private	Men`s		              -	56	864	1	864	6.8%	58	$62,100	Both	98.3%	$34,544	0.56	$27,556	$2.0m				530	630	540	650	1070	1280	Wabash		63.8%		15-Oct	15-Jan				
118.0	Washington and Lee University	Lexington	     VA	Private	LAC		              -	11	1.827	0.82	1827	3.5%	59	$72,100	Both	92.2%	$55,926	0.78	$16,174	$3.3m	Full ride	Johnson Scholarship		680	740	670	750	1350	1490	Washington&Lee,W&L		22.0%	1-Jan	1-Jan	1-Jan				
119.0	Washington University in St Louis	St. Louis	     MO	Private	Research		19	              -	7.675	0.5	7675	7.9%	79	$77,500	Both	13.1%	$38,063	0.49	$39,437	$3.0m				720	770	750	800	1470	1570	WashU		15.0%	2-Jan		2-Jan	  n/s			
120.0	Wayne State University	Detroit	     MI	Public	Research		205	              -	17.322	0.64	17322	2.3%	155	$47,300	Merit	39.6%	$9,989	0.21	$37,311	$1.5m	In-state rate	         #YouAreWelcomeHere	Info	500	610	500	600	1000	1210	Wayne State, WSU		67.4%		1-Aug	1-Aug	79	            92 avg.	           6.5	
121.0	Wellesley College	Wellesley	     MA	Private	Women`s		              -	3	2.508	1	2508	12.2%	90	$77,000	Need	29.3%	$61,386	0.8	$15,614	$5.5m				690	760	670	770	1360	1530	Wellesley		19.0%	1-Jan		15-Jan				
122.0	Weslyan University	Middletown	     CT	Private	LAC		              -	18	2.976	0.93	2976	12.1%	98	$77,300	Need	27.3%	$61,549	0.8	$15,751	$6.0m				660	740	640	760	1300	1500	Wesleyan		16.3%	1-Jan		1-Jan	100		7	
123.0	Westminster College	Salt Lake City	     UT	Private	Comp. U		              -	              -	       2,030	0.79	104	5.1%	87	$53,100	Both	83.7%	$18,003	0.34	$35,097	$1.6m				530	640	530	630	1060	1270	Westminster		92.7%			rolling	79	         82 avg.	           6.5	
124.0	Williams College	Williamstown	     MA	Private	LAC		              -	1	2.061	0.97	2061	8.2%	92	$77,700	Need	54.1%	$62,873	0.81	$14,827	$5.8m				710	780	690	790	1400	1570	Williams		12.2%			1-Jan				
125.0	Yale University	New Haven	     CT	Private	Research		3	              -	5.746	0.44	614	10.7%	337	$76,900	Need	54.9%	$59,850	0.78	$17,050	$20.2m				710	790	710	800	1420	1590	Yale		6.3%			1-Jan	100		7	
